Ligand ID,Mode,Affinity (kcal/mol),RMSD Lower Bound,RMSD Upper Bound
ligand_62698278_docking,7,-4.95,3.852,5.097
ligand_62698278_docking,8,-4.939,2.067,2.39
ligand_62698278_docking,9,-4.861,8.393,11.02
ligand_30490734_docking,1,-7.295,0.0,0.0
ligand_30490734_docking,2,-7.284,2.521,3.114
ligand_30490734_docking,3,-7.187,2.933,3.68
ligand_30490734_docking,4,-6.835,3.856,7.51
ligand_30490734_docking,5,-6.831,11.42,15.17
ligand_30490734_docking,6,-6.645,3.371,7.21
ligand_30490734_docking,7,-6.629,7.371,11.62
ligand_30490734_docking,8,-6.447,10.83,14.76
ligand_30490734_docking,9,-6.404,3.617,7.818
ligand_84331782_docking,1,-6.64,0.0,0.0
ligand_84331782_docking,2,-6.388,2.662,5.334
ligand_84331782_docking,3,-5.856,7.206,9.977
ligand_84331782_docking,4,-5.831,7.328,10.19
ligand_84331782_docking,5,-5.487,6.592,10.28
ligand_84331782_docking,6,-5.403,9.969,13.15
ligand_84331782_docking,7,-5.354,7.563,10.36
ligand_84331782_docking,8,-5.133,7.032,10.2
ligand_84331782_docking,9,-5.071,8.208,11.67
ligand_23592963_docking,1,-6.473,0.0,0.0
ligand_23592963_docking,2,-6.3,1.122,2.966
ligand_23592963_docking,3,-6.235,1.355,1.821
ligand_23592963_docking,4,-6.102,1.326,3.051
ligand_23592963_docking,5,-5.657,1.558,3.099
ligand_23592963_docking,6,-5.612,1.96,3.448
ligand_23592963_docking,7,-5.327,1.807,2.436
ligand_23592963_docking,8,-5.072,3.782,7.507
ligand_23592963_docking,9,-5.039,11.03,15.34
ligand_58904376_docking,1,-5.916,0.0,0.0
ligand_58904376_docking,2,-5.775,11.7,13.03
ligand_58904376_docking,3,-5.689,3.854,8.362
ligand_58904376_docking,4,-5.543,11.91,13.68
ligand_58904376_docking,5,-5.527,10.66,12.91
ligand_58904376_docking,6,-5.502,2.669,7.455
ligand_58904376_docking,7,-5.431,10.61,12.56
ligand_58904376_docking,8,-5.339,3.43,4.766
ligand_58904376_docking,9,-5.314,6.367,8.81
ligand_25257158_docking,1,-8.055,0.0,0.0
ligand_25257158_docking,2,-7.925,1.748,5.725
ligand_25257158_docking,3,-7.215,1.298,1.608
ligand_25257158_docking,4,-6.923,1.854,5.737
ligand_25257158_docking,5,-6.442,2.205,6.429
ligand_25257158_docking,6,-6.327,2.218,6.118
ligand_25257158_docking,7,-6.223,11.53,15.41
ligand_25257158_docking,8,-6.182,3.322,7.228
ligand_25257158_docking,9,4.018,12.16,16.01
ligand_409140_docking,1,-6.374,0.0,0.0
ligand_409140_docking,2,-6.209,1.551,1.753
ligand_409140_docking,3,-5.808,1.731,1.872
ligand_409140_docking,4,-5.781,2.926,5.427
ligand_409140_docking,5,-5.748,1.898,2.641
ligand_409140_docking,6,-5.448,2.442,5.206
ligand_409140_docking,7,-5.33,2.13,3.001
ligand_409140_docking,8,-4.761,2.581,3.608
