cid	canonicalsmiles
53688493	C1=CC=C(C=C1)COC(=O)C(CN)C2=CC=CC=C2
45077157	CC(C(=O)O)NC1=CC2=C(C=C1)N=CS2
57978742	C1=CC=C(C=C1)COC(=O)C(CC2=CN=CN2)N
41650551	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CNC2=CC=CC=C2C(=O)NC3CC3
41692373	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CNC2=CC=CC=C2C(=O)N
40672480	CNC(=O)COC(=O)C1=CC(=NN1)C2=CC=C(C=C2)Br
39349769	CN(CC1=CC=CS1)C2=CC=CC(=C2)C(=O)O
54548554	C1=CC=C(C=C1)COC(=O)CNCCN
56346486	CCCNC(=O)C1=CC=C(C=C1)NC(=O)CCC2=CSC=N2
47415069	CCNC(=O)C1=CC=C(C=C1)NC(=O)CN(CC)CC
47079089	CCN(CC)C(=O)CNC(=O)NC1=CC=C(C=C1)C
23802819	C1=CC(=CN=C1)CNC(=O)COC(=O)C2=CC=C(C=C2)N
19362661	C1=CC=C(C=C1)COC(=O)C(=O)CN
19509477	COC(=O)CNC(=O)C1=CC(=NN1)C2=CC=C(C=C2)Cl
19514588	COC(=O)CNC(=O)C1=CC(=NN1)C2=CC=C(C=C2)F
13576324	C1=CC=C(C=C1)C(=O)COC(=O)CN
14135413	C1=CC=C(C=C1)COC(=O)C(CC2=CN=CN2)N
14135415	C1=CC=C(C=C1)COC(=O)C(CC2=CN=CN2)N
15702451	CC1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CC=C2N
15933110	C1=CC=C(C=C1)COC(=O)C(N)O
26163528	CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)CC2=CC=CC=C2C
118448275	C1=CC=C(C=C1)COC(=O)CCNCCN
119044821	CCNC(=O)C1=CC(=CC=C1)NC(=O)CN(CC)CC2=CC3=C(C=C2)NC=C3
110407335	C1CCN(CC1)C2=CC=C(C=C2)NC(=O)CNC(=O)CC3=CC=CS3
104382273	CCN(CC)C(=O)CNC(=O)CC1=CC=C(C=C1)CN
113000131	CCN(CC)C1=CC=C(C=C1)NC(=O)CNC(=O)CC2=CC=CC=C2F
113000134	CCN(CC)C1=CC=C(C=C1)NC(=O)CNC(=O)CC2=CC=CC(=C2)C
8544156	COC1=CC=CC(=C1)NC(=O)COC(=O)C2=CC=CN2
8549458	CCOC1=CC=C(C=C1)C(=O)COC(=O)C2=CC=CN2
9125613	CCNC(=O)CN(CC)C(=O)CN(C)CC1=CC=C(C=C1)C(=O)NC
7152549	C1=CC(=CC(=C1)Cl)NC(C2=CC=CS2)C(=O)O
7152553	C1=CC(=CC(=C1)Cl)NC(C2=CC=CS2)C(=O)O
1814885	C1=CC=C(C=C1)C2=CC=C(C=C2)CNCCO
1690066	C1=CC=C(C=C1)COC(=O)CNC(=O)C2=CC=CC=C2
2757763	C1=CC(=CC(=C1)Cl)NC(C2=CC=CS2)C(=O)O
560875	C1=CC=C(C=C1)COC(=O)CNC=O
169804484	C1=CC=C(C=C1)COC(=O)CCNSS
123342440	C1=CC=C(C=C1)COC(=O)C(N)O
165913674	C1=CC=C(C=C1)COC(=O)NC(CC2=CNN=C2)C(=O)O
165938408	C1=CC=C(C=C1)COC(=O)NC(CC2=CNN=C2)C(=O)O
166514990	COC1=CC=C(C=C1)NC(C(=O)O)O
166897498	C1=CC=C(C=C1)COC(=O)CCNCO
61346372	C1=CC(=CC(=C1)Br)NC(C2=CC=CS2)C(=O)O
61346940	C1=CC(=CC(=C1)F)NC(C2=CC=CS2)C(=O)O
61611580	CN(CC1=CSC=N1)C(=O)CNC(=O)C2=CC=C(C=C2)N
67546199	C1=CC=C(C=C1)COC(=O)CNCCO
66911692	CCOC(=O)CNNC1=CC=C(C=C1)C
63589959	CCNC(=O)CN(CC)C(=O)CC1=CC=C(C=C1)CN
63743157	C1=CC=C2C(=C1)C(=CS2)CSCCC(C(=O)O)N
94280049	COC1=CC=CC(=C1)C(=O)CNC(=O)C2=CN=CC=C2
84265158	CN(CCO)C(=O)CCNC1=C2C(=CSC2=NC=N1)C3=CC=C(C=C3)F
89020205	CC(=O)COC(=O)C1=CC=C(C=C1)N
84767874	CNCC(=O)C1=CC=C(C=C1)CO
86311205	COC(=O)C(C1=CC=C(C=C1)C2=CC=CC=C2)N
86911648	CCCNC(=O)CN(CCC)CC1=CC=C(C=C1)C
84265154	CCN(CCO)C(=O)CCNC1=C2C(=CSC2=NC=N1)C3=CC=C(C=C3)F
84265157	CN(CC(=O)O)C(=O)CCNC1=C2C(=CSC2=NC=N1)C3=CC=C(C=C3)F
84265535	C1=CC=C(C=C1)CN(CCO)C(=O)CCNC2=C3C(=CSC3=NC=N2)C4=CC=CC=C4
112995764	CCCN(CCC)C(=O)CNC(=O)CC1=CC=C(C=C1)C
113000238	CC1CCN(CC1)C2=CC=C(C=C2)NC(=O)CNC(=O)CC3=CC=CS3
113001683	CCN(CC)C1=CC(=C(C=C1)NC(=O)CNC(=O)CC2=CC=CC=C2C)C
113001684	CCN(CC)C1=CC(=C(C=C1)NC(=O)CNC(=O)CC2=CC=CC(=C2)C)C
112356813	C1=CC(=CC(=C1)NCC2=CC=CS2)C(=O)NCCO
107804080	CCC(C(=O)O)NC1=CC2=C(C=C1)N=CS2
107805898	CCCCC(C(=O)O)NC1=CC2=C(C=C1)N=CS2
115222908	C1=CC=C(C=C1)C2=CC=C(C=C2)CNCC=O
114003121	CCCC(C(=O)O)NC1=CC2=C(C=C1)N=CS2
104078111	C1=CC=C(C=C1)CNC(CO)C2=NC=CS2
104309190	COC(=O)C1CCN1C2=CC=C(C=C2)CO
104431323	CCN(CC)C(=O)CCNC(=O)CC1=CC=C(C=C1)CN
105450509	C1=CC=C(C=C1)COC(=O)C(CN)F
121661498	CCC1=CC=C(C=C1)C2CNCCN2C(=O)CNC(=O)CN
101009362	C1=CC=C(C=C1)COC(=O)C(CCl)N
46860742	CC1=CC(=NN1)NC(=O)COC(=O)C2=CC=C(C=C2)NC(=O)C
48182975	CCCNC(=O)C1=CC=C(C=C1)NC(=O)CN(CC)CC
46184728	COC(=O)C(C1=CC=C(C=C1)C2=CC=CC=C2)N
46201299	C1=CC=C(C=C1)COC(=O)C(CO)NC(=O)C2=CN=CC=C2
57061571	C1=CC=C(C=C1)COC(=O)C(CN)Br
57085749	C1=CC=C(C=C1)COC(=O)CCNC2=CC=CC=C2
57172604	C1=CC=C(C=C1)COC(=O)C(CN)I
58306686	COC(=O)C1=CC=C(C=C1)C(CO)N
58566935	COC(=O)COC(=O)C1=CC=C(C=C1)N
55269732	COC(=O)C1=CC=C(C=C1)C(CO)N
55278291	COC(=O)C1=CC=C(C=C1)C(CO)N
54813570	CCCCNC(=O)C1=CC=C(C=C1)NC(=O)CN(CC)CC
54815727	CCCCNC(=O)C1=CC=C(C=C1)NC(=O)CNCCC2=CCCCC2
54818838	CCCNC(=O)C1=CC=C(C=C1)NC(=O)CN(CCC)CCC
40171949	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CCC2=CC=NC=C2
53920693	C1=CC=C(C=C1)CCOC(=O)CCN
54311429	C1=CC=C(C=C1)COC(=O)NC(C=O)C2=CC=CC=C2
26543627	CCN(CC)C(=O)C1=CC=C(C=C1)NC(=O)CNC2=CC=CC=C2C(=O)NC
24729709	COC(=O)C(C1=CC=C(C=C1)C2=CC=CC=C2)N
14523461	C1=CC=C(C=C1)COC(=O)C(CN)O
14523462	C1=CC=C(C=C1)COC(=O)C(CN)O
14523463	C1=CC=C(C=C1)COC(=O)C(CN)O
11623654	C1=CC=C(C=C1)COC(=O)C(CI)N
13307856	CCN(CC)CCNC(=O)C1=CC=C(C=C1)NC(=O)CN
13371503	C1=CC=C(C=C1)COC(=O)NCC(=O)C2=CC=CC=C2
12210896	C1=CC=C(C=C1)COC(=O)C(C2=CC=CC=C2)N
14802498	C1=CC=C(C=C1)COC(=O)NC(CO)C2=CC=CC=C2
22857082	C1=CC=C(C=C1)COC(=O)NC(C=O)C2=CC=CC=C2
21462384	C1=CC=C(C=C1)CCOC(=O)CN
21540004	C1=CC=C(C=C1)COC(=O)C(CF)N
21560562	C1=CC=C(C=C1)COC(=O)N(CC=O)C2=CC=CC=C2
22789988	C1=CC=C(C=C1)COC(=O)C(CF)N
22839419	C1=CC=C(C=C1)COC(=O)C(CS)N
19891176	C1=CC=C(C=C1)COC(=O)C(CN)N
18467380	C1=CC=C(C=C1)COC(=O)C(CBr)N
18676842	C1=CC=C(C=C1)COCC(=O)CN
18929217	C1=CC=C(C=C1)COC(=O)CNC2=CC=CC=C2F
18985756	C1=CC=C(C=C1)COC(=O)NC(C=O)C2=CC=CC=C2
15852253	C1=CC=C(C=C1)COC(=O)CCNC(=O)C2=CC=CN2
17464082	COC1=CC=C(C=C1)C(=O)COC(=O)C2=CC(=CN2)Br
28431449	COC(=O)CNCC1=CC=C(C=C1)C2=CC=CC=C2
9380587	CC1=C(C=C(C=C1)C(=O)COC(=O)C2=CC=CN2)C
